x0000,y0000
1.7469141483,0.0356047167
1.7957060337,0.0356047167
1.8489089012,0.0544542727
1.8982825279,0.081681409
1.9514827728,0.1822123739
2.0003931522,0.5592034923
2.0536220074,0.2890265241
2.1027233601,0.4042182548
2.1565680504,1.1414453308
2.2091639042,1.3110913341
2.2585697174,0.9382890059
2.311665535,0.5319763560
2.364733696,1.2294099251
2.4141042233,1.3069025439
2.4677708149,0.5529203070
2.5169765949,0.5068436148
2.5698659420,1.2482594810
2.6227772236,1.4325662500
2.6725990772,0.8314748557
2.7255270481,0.6660176426
2.7787704468,1.4430382255
2.8276791573,1.3529792361
2.8810405731,1.0178760198
2.934122324,1.0178760198
2.9835817814,1.4074335088
3.0367572308,1.4472270158
3.0899128914,1.1728612573
3.1390066147,1.0911798483
3.1924340725,1.4493214109
3.2454717159,1.4074335088
3.2948358059,1.1184069847
3.3479468822,1.1288789602
3.4011719227,1.3843951627
3.454305172,1.2482594810
3.5036201477,1.2126547643
3.5569508076,1.2335987153
3.6100344658,1.3969615333
3.6592743397,1.3864895578
3.7125093937,1.2252211349
3.7655625343,1.1225957749
3.8148460388,1.3948671382
3.8681449890,1.1770500475
3.9212794304,1.2042771839
3.9703817368,1.3048081488
4.0237529278,1.4765485472
4.0771067142,1.2922417782
4.1301226616,1.2943361733
4.1793487072,1.2419762957
4.2326195240,1.4576989913
4.2818388939,0.4272566009
4.3349065781,0.0879645943
4.3881120682,1.0639527120
4.4371836185,1.3802063725
4.4867744446,0.0146607657
4.5359017849,0.0188495559
4.588968277,0.
4.6381793022,0.
4.6912612915,0.0083775804
4.7406973839,0.
4.7898101807,0.0020943951
4.8429017067,0.0020943951
4.8921875954,0.
4.9413721561,0.
4.9945437908,0.
5.0436058044,0.
5.0966074467,0.
5.1458325386,0.0104719755
5.1951980591,0.0020943951
5.2483756542,0.0020943951
5.2976732254,0.
5.3468391895,0.
5.3999648094,0.0104719755
5.4491078854,0.0041887902
5.4983458519,0.0062831853
5.5518186092,0.0083775804
5.6007173061,0.0083775804
5.6538779736,0.0062831853
5.7030007839,0.0020943951
5.7521998882,0.0062831853
5.8053963184,0.0020943951
5.8544235229,0.0062831853
5.9039285183,0.0020943951
5.9567320347,0.0083775804
6.0073504448,0.0083775804
6.0553967953,0.0083775804
6.1085746288,0.0146607657
6.1577138901,0.0146607657
6.2110316753,0.0230383461
6.260021925,0.0146607657
6.3092479706,0.0188495559
6.3624231815,0.0188495559
6.4117136002,0.0041887902
6.4607784748,0.0125663706
6.5139210224,0.0104719755
6.563097477,0.0104719755
6.6122748852,0.0083775804
6.6655883789,0.0062831853
6.7148225307,0.0062831853
6.7679443359,0.0062831853
6.817191124,0.0083775804
