x0000,y0000
5.4467139244,0.0272271363
5.4998679161,0.0670206433
5.5491797924,0.4523893421
5.6021909714,0.7099999397
5.6555123329,0.6283185307
5.7047271729,0.8021533242
5.7577822208,0.8105309046
5.8072698116,0.9424777961
5.8606698513,1.0932742434
5.9134337902,1.2210323447
5.9627535343,1.308996939
6.0159440041,1.2775810125
6.0693986416,1.3571680264
6.1184442043,1.3006193586
6.1716835499,1.2817698027
6.2249097824,1.2503538761
6.2741508484,1.3215633096
6.3274078369,1.3487904459
6.3804993629,1.4388494353
6.4337029457,1.3718287921
6.4830195904,1.3990559284
6.5361475945,1.3634512117
6.5892407894,1.2440706908
6.6385304928,1.2775810125
6.6917519569,1.2189379496
6.7448213100,1.1770500475
6.7942600250,1.2440706908
6.8475091457,1.2377875055
6.9004707336,1.0723302924
6.9497666359,1.0409143659
7.0031330585,1.0639527120
7.0561838150,1.1393509357
7.1055243015,1.0409143659
7.1586728096,0.8545132018
7.2078974247,0.3937462792
7.2610881329,0.3832743037
7.3106327057,0.511032405
7.3635084629,0.7937757438
7.4127669334,0.7497934467
7.4659106731,0.858701992
7.5190591812,0.9676105373
7.5683343410,0.9278170304
7.6215178967,0.8503244116
7.6707601547,0.7937757438
7.7238998413,0.777020583
7.7770948410,0.6366961111
7.8263611794,0.6764896181
7.8795158863,0.7435102613
7.9286100864,0.8189084850
7.9819407463,0.7058111495
8.0311021805,0.3539527723
8.0803442001,0.0460766923
8.1333909035,0.0272271363
8.182687521,0.0272271363
8.2357201576,0.0209439510
8.2849392891,0.0188495559
8.3341441154,0.0272271363
8.3833932877,0.0104719755
8.4364578724,0.0125663706
8.4858071804,0.0083775804
8.5346715450,0.0083775804
8.5881364346,0.0041887902
8.6373112202,0.0041887902
8.6904823780,0.0104719755
8.7394807339,0.0083775804
8.7889297009,0.0083775804
8.8419773579,0.
8.8911790848,0.0083775804
8.9404852390,0.0083775804
8.9935655594,0.0020943951
9.0428931713,0.0062831853
9.0919578075,0.0020943951
9.1451816559,0.0062831853
9.1943438053,0.
9.2473051548,0.0104719755
9.2966976166,0.0146607657
9.3459348679,0.0020943951
9.3990023136,0.0146607657
9.4481165409,0.0041887902
9.4974267483,0.0146607657
9.5504603386,0.0167551608
9.5999085903,0.0125663706
9.6488173008,0.0188495559
9.7021436691,0.0083775804
9.7514371872,0.0083775804
9.8044233322,0.0020943951
9.8535914421,0.0083775804
9.9028878212,0.0104719755
9.9559783936,0.0083775804
10.0053005219,0.0104719755
10.0545225143,0.0062831853
10.1074452400,0.0062831853
10.1567139626,0.0083775804
10.2060034275,0.0041887902
10.2592782974,0.0104719755
10.3084805012,0.0020943951
10.3615081310,0.0083775804
10.4107666016,0.
10.4600017071,0.
10.5128867626,0.0083775804
